Model,Field,Current Type,Current Storage,Issue,Proposed Change
FeeStructure,batch,String,Raw string,⚠ Should be FK,"Propose: Replace with batchId (FK)"
FeeStructure,paymentOption,String,Raw string,⚠ Should be FK,"Propose: Replace with paymentOptionId (FK)"
FeeStructure,program,String,Raw string,⚠ Should be FK,"Propose: Replace with programId (FK)"
FeeStructure,semFee,Float,Number,,Keep
,,,,,
=== STUDENT FEE STRUCTURE ===,,,,,"Uses raw strings for enrollmentNo, paymentOption, batch, program"
StudentFeeStructure,id,Int (auto),ID,,Keep
StudentFeeStructure,enrollmentNo,String,Raw string (Unique),⚠ Should be FK,"Propose: Replace with enrollmentId (FK)"
StudentFeeStructure,paymentOption,String?,Raw string,⚠ Should be FK,"Propose: Replace with paymentOptionId (FK)"
StudentFeeStructure,batch,String?,Raw string,⚠ Should be FK,"Propose: Replace with batchId (FK)"
StudentFeeStructure,program,String?,Raw string,⚠ Should be FK,"Propose: Replace with programId (FK)"
StudentFeeStructure,type,String?,Raw string,,Keep (UG/PG)
StudentFeeStructure,couponName,String?,Raw string,,Keep
StudentFeeStructure,couponName2,String?,Raw string,,Keep
StudentFeeStructure,currentSem,Int?,Number,,Keep
StudentFeeStructure,sem1Fee - sem6Fee,Float?,Number,,Keep
StudentFeeStructure,sem1Scholarship - sem6Scholarship,Float?,Number,,Keep
StudentFeeStructure,sem1FeeAfter - sem6FeeAfter,Float?,Number,,Keep
,,,,,
=== LOOKUP / MASTER TABLES ===,,,,,"Already exist"
Program,id + name,Int + String,Master table,,Keep
PaymentOption,id + name,Int + String,Master table,,Keep
Enrollment,id + enrollNo,Int + String,Master table,,Keep
,,,,,
=== NEW LOOKUP TABLES TO CREATE ===,,,,,"Proposed to eliminate string duplication"
Batch (NEW),id + name,Int + String,New master table,,Create - replaces all batch strings
Team (NEW),id + name,Int + String,New master table,,Create - replaces AdmissionForm.team
Bifurcation (NEW),id + name,Int + String,New master table,,Create - replaces AdmissionForm.bifurcation
Status (NEW),id + name,Int + String,New master table,,Create - replaces AdmissionForm.status
